Cloud Services,Website,Type of Service
Amazon Luna,[https://luna.amazon.com/](https://luna.amazon.com/),Gaming
Amazon Prime Video,[https://www.amazon.com/video](https://www.amazon.com/video),Streaming
Apple TV,[https://tv.apple.com/](https://tv.apple.com/),Music
audiobookshelf*,[https://www.audiobookshelf.org/](https://www.audiobookshelf.org/),Self Hosted 
Crunchyroll,[https://www.crunchyroll.com/](https://www.crunchyroll.com/),Streaming 
Discord,[https://discord.com/](https://discord.com/),Social Media
Disney+,[https://www.disneyplus.com/](https://www.disneyplus.com/),Streaming
Dropout,[https://dropout.tv](https://dropout.tv),Streaming
Emby*,[https://emby.media/](https://emby.media/),Self Hosted
HBO Max,[https://www.hbomax.com/](https://www.hbomax.com/),Streaming 
Home Assistant*,[https://demo.home-assistant.io/](https://demo.home-assistant.io/),Home Automation
Hulu,[https://www.hulu.com/](https://www.hulu.com/),Streaming
Jellyfin*,[https://demo.jellyfin.org/stable](https://demo.jellyfin.org/stable),Self Hosted
Kavita*,[https://www.kavitareader.com/](https://www.kavitareader.com/),Self Hosted
Netflix,[https://www.netflix.com/](https://www.netflix.com/),Streaming
Paramount+,[https://www.paramountplus.com/](https://www.paramountplus.com/),Streaming
Peacock TV,[https://www.peacocktv.com/](https://www.peacocktv.com/),Streaming
Plex*,[https://app.plex.tv/](https://app.plex.tv/),Self Hosted
Spotify,[https://open.spotify.com/](https://open.spotify.com/),Music
Tiktok,[https://www.tiktok.com/](https://www.tiktok.com/),Social Media
Twitch,[https://www.twitch.tv/](https://www.twitch.tv/),Livestreaming
Twitter,[https://twitter.com/](https://twitter.com/),Social Media 
Vimeo,[https://vimeo.com/](https://vimeo.com/),Video Platform
webRcade*,[https://play.webrcade.com/](https://play.webrcade.com/),Gaming
Xbox Cloud Gaming (xCloud),[https://www.xbox.com/play](https://www.xbox.com/play),Gaming 
YouTube,[https://www.youtube.com/](https://www.youtube.com/),Video Platform 
YouTube Music,[https://music.youtube.com/](https://music.youtube.com/),Music
YouTube TV,[https://tv.youtube.com/](https://tv.youtube.com/),Streaming 
