System,ROM Folder Name,Emulator (Click for Link),File Format,BIOS Files
**Nintendo 3DS (Standalone)**,`3ds` or `n3ds`,**[Citra (Standalone)](https://citra-emu.org/)**,.3ds .3dsx .app .axf .cci .cxi   .elf    .cia is incompatible with EmulationStation-DE and Steam ROM Manager    .cia can only be used if installed and played through Citra's GUI,Place `aes_keys.txt` (for encrypted ROMs) in: `Emulation/bios/citra/keys`
**Nintendo 64 (Standalone)**,n64,**[Rosalie's Mupen GUI (Standalone)](https://github.com/Rosalie241/RMG)**,.7z   `.bin` .n64   .ndd   .u1   .v64   .z64   .zip,Not Required
**Nintendo 64DD (Standalone)**,`n64` or `n64dd`,**[Rosalie's Mupen GUI (Standalone)](https://github.com/Rosalie241/RMG)**,.7z   `.bin` .n64   .ndd   .u1   .v64   .z64   .zip,Nintendo 64DD BIOS:    `64DD_IPL_US.n64`   `64DD_IPL_JP.n64`   `64DD_IPL_DEV.n64`
Nintendo 64,n64,[RetroArch Mupen64plus-Next](https://docs.libretro.com/library/mupen64plus/),.7z   `.bin`  .n64   .ndd   .u1   .v64   .z64   .zip,Not Required
**Nintendo DS (Standalone)**,nds,**[melonDS (Standalone)](https://melonds.kuribo64.net/)**,.nds,**Optional:**<br/>Nintendo DS BIOS:<br/>`bios7.bin`<br/>`bios9.bin`<br/>`firmware.bin`
**Nintendo DSiWare (Standalone)**,nds,**[melonDS (Standalone)](https://melonds.kuribo64.net/)**,.app <br/> [How to Set Up DSIWare](https://emudeck.github.io/emulators/steamos/melonds/#how-to-set-up-dsiware),Nintendo DSI BIOS    `dsi_bios7.bin`    `dsi_bios9.bin`    `dsi_firmware.bin`    `dsi_nand.bin`
Nintendo DS,nds,[RetroArch melonDS (Legacy Core)](https://docs.libretro.com/library/melonds/),.7z   .nds   .zip,Nintendo DS BIOS:    `bios7.bin`     `bios9.bin`     `firmware.bin`
Nintendo DS,nds,[RetroArch melonDS DS](https://github.com/JesseTG/melonds-ds),.7z   .nds   .zip,Nintendo DS BIOS:    `bios7.bin`     `bios9.bin`     `firmware.bin`
**Nintendo Game Boy (Standalone)**,gb,**[mGBA (Standalone)](https://mgba.io/)**,.7z   .gb   .dmg   .zip,Not Required
Nintendo Game Boy,gb,[RetroArch SameBoy](https://docs.libretro.com/library/sameboy/),.7z   .gb   .dmg   .zip,Not Required
