System,ROM Folder Name,Emulator,File Format,BIOS Files
Amiga,amiga,[RetroArch PUAE](https://docs.libretro.com/library/puae/),.7z .adf .adz .ccd .chd `.cue and .bin` .dms .fdi .hdf .hdz .info .ipf .iso .lha .m3u .mds .nrg .slave .uae .zip,[Read the Libretro Wiki](https://docs.libretro.com/library/puae/)
Amiga 600,amiga600,[RetroArch PUAE](https://docs.libretro.com/library/puae/),.7z .adf .adz .ccd .chd `.cue and .bin` .dms .fdi .hdf .hdz .info .ipf .iso .lha .m3u .mds .nrg .slave .uae .zip,[Read the Libretro Wiki](https://docs.libretro.com/library/puae/)
Amiga 1200,amiga1200,[RetroArch PUAE](https://docs.libretro.com/library/puae/),.7z .adf .adz .ccd .chd `.cue and .bin` .dms .fdi .hdf .hdz .info .ipf .iso .lha .m3u .mds .nrg .slave .uae .zip,[Read the Libretro Wiki](https://docs.libretro.com/library/puae/)
Amiga CD32,amigacd32,[RetroArch PUAE](https://docs.libretro.com/library/puae/),.7z .adf .adz .ccd .chd `.cue and .bin` .dms .fdi .hdf .hdz .info .ipf .iso .lha .m3u .mds .nrg .slave .uae .zip,[Read the Libretro Wiki](https://docs.libretro.com/library/puae/)
Amstrad CPC,amstradcpc,[RetroArch Caprice32](https://docs.libretro.com/library/caprice32/),.7z .cdt .dsk .sna .tap,Not Required
Commodore 16,c16,[RetroArch Vice](https://docs.libretro.com/library/vice/),.cmd .crt `.cue and .bin` .d64 .d6z .d71 .d7z .d80 .d81 .d82 .d8z .g41 .g4z .g64 .g6z .m3u .nbz .nib .p00 .prg .t64 .tap .vsf .x64 .x6z .zip,[Read the Libretro Wiki](https://docs.libretro.com/library/vice/)
Commodore 64,c64,[RetroArch Vice](https://docs.libretro.com/library/vice/),.cmd .crt `.cue and .bin` .d64 .d6z .d71 .d7z .d80 .d81 .d82 .d8z .g41 .g4z .g64 .g6z .m3u .nbz .nib .p00 .prg .t64 .tap .vsf .x64 .x6z .zip,[Read the Libretro Wiki](https://docs.libretro.com/library/vice/)
Commodore VIC-20,vic20,[RetroArch Vice](https://docs.libretro.com/library/vice/),.cmd .crt `.cue and .bin` .d64 .d6z .d71 .d7z .d80 .d81 .d82 .d8z .g41 .g4z .g64 .g6z .m3u .nbz .nib .p00 .prg .t64 .tap .vsf .x64 .x6z .zip,[Read the Libretro Wiki](https://docs.libretro.com/library/vice/)
DOS,dos,[RetroArch DOSBox Pure](https://docs.libretro.com/library/dosbox_pure/),.7z .zip,Not Required
NEC PC-98,pc98,[RetroArch Neko Project II Kai](https://docs.libretro.com/libraryneko_project_ii_kai/),.2hd.88d.98d.cmd.d88.d98.dup.fdd.fdi .hdd .hdi .hdm .hdn .nhd .tfd .thd .xdi .zip,[Read the Libretro Wiki](https://docs.libretro.com/library/neko_project_ii_kai/)
Sharp X68000,x68000,[RetroArch PX68k](https://docs.libretro.com/library/px68k/),.2hd .88d .cmd .d8 .dim .dup .hdf .hdm .img .m3u .xdf.zip,[Read the Libretro Wiki](https://docs.libretro.com/library/px68k/)
ZX Spectrum,zxspectrum,[RetroArch Fuse](https://docs.libretro.com/library/fuse/),.7z .rzx .scl .tap .trd .tzx .z80 .zip .zx,[Read the Libretro Wiki](https://docs.libretro.com/library/fuse/)
