System,ROM Folder Name,Emulator (Click for Link),File Format,BIOS Files
**Nintendo 3DS (Standalone)**,`3ds` or `n3ds`,**[Citra (Standalone)](https://citra-emu.org/)**,.3ds .3dsx .app .axf .cci .cxi   .elf    .cia is incompatible with EmulationStation-DE and Steam ROM Manager    .cia can only be used if installed and played through Citra's GUI,Place `aes_keys.txt` (for encrypted ROMs) in: `Emulation/bios/citra/keys`
**Nintendo 64 (Standalone)**,n64,**[Rosalie's Mupen GUI (Standalone)](https://github.com/Rosalie241/RMG)**,.7z   `.bin` .n64   .ndd   .u1   .v64   .z64   .zip,Not Applicable
**Nintendo 64DD (Standalone)**,`n64` or `n64dd`,**[Rosalie's Mupen GUI (Standalone)](https://github.com/Rosalie241/RMG)**,.7z   `.bin` .n64   .ndd   .u1   .v64   .z64   .zip,Nintendo 64DD BIOS:    `64DD_IPL_US.n64`   `64DD_IPL_JP.n64`   `64DD_IPL_DEV.n64`
Nintendo 64,n64,[RetroArch Mupen64plus-Next](https://docs.libretro.com/library/mupen64plus/),.7z   `.bin`  .n64   .ndd   .u1   .v64   .z64   .zip,Not Applicable
**Nintendo 64 (Standalone)**,n64,**[ares (Standalone)](https://ares-emu.net/compatibility)**,.7z   `.bin` .n64   .ndd   .u1   .v64   .z64   .zip,Not Applicable
**Nintendo 64DD (Standalone)**,`n64` or `n64dd`,**[ares (Standalone)](https://ares-emu.net/compatibility)**,.7z   `.bin` .n64   .ndd   .u1   .v64   .z64   .zip,Nintendo 64DD BIOS:    `64DD_IPL_US.n64`   `64DD_IPL_JP.n64`   `64DD_IPL_DEV.n64`
**Nintendo DS (Standalone)**,nds,**[melonDS (Standalone)](https://melonds.kuribo64.net/)**,.nds .app,Nintendo DS BIOS (Optional):    `bios7.bin`    `bios9.bin`    `firmware.bin`   Nintendo DSI BIOS (Optional):    `dsi_bios9.bin`    `dsi_bios7.bin`    `dsi_firmware.bin`    `dsi_nand.bin`
Nintendo DS,nds,[RetroArch melonDS (Legacy Core)](https://docs.libretro.com/library/melonds/),.7z   .nds   .zip,Nintendo DS BIOS:    `bios7.bin`     `bios9.bin`     `firmware.bin`
Nintendo DS,nds,[RetroArch melonDS DS](https://github.com/JesseTG/melonds-ds),.7z   .nds   .zip,Nintendo DS BIOS:    `bios7.bin`     `bios9.bin`     `firmware.bin`
**Nintendo Game Boy (Standalone)**,gb,**[ares (Standalone)](https://ares-emu.net/compatibility)**,.7z   .gb   .dmg   .zip,Not Applicable
**Nintendo Game Boy (Standalone)**,gb,**[mGBA (Standalone)](https://mgba.io/)**,.7z   .gb   .dmg   .zip,Not Applicable
Nintendo Game Boy,gb,[RetroArch SameBoy](https://docs.libretro.com/library/sameboy/),.7z   .gb   .dmg   .zip,Not Applicable
Nintendo Game Boy,gb,[RetroArch Gambatte](https://docs.libretro.com/library/gambatte/),.7z   .gb   .dmg   .zip,Not Applicable
**Nintendo Game Boy Advance (Standalone)**,gba,**[ares (Standalone)](https://ares-emu.net/compatibility)**,.7z   .gba   .zip,`gba_bios.bin`
**Nintendo Game Boy Advance (Standalone)**,gba,**[mGBA (Standalone)](https://mgba.io/)**,.7z   .gba   .zip,Not Applicable
Nintendo Game Boy Advance,gba,[RetroArch mGBA](https://docs.libretro.com/library/mgba/),.7z   .gba   .zip,Not Applicable
**Nintendo Game Boy Color (Standalone)**,gbc,**[mGBA (Standalone)](https://mgba.io/)**,.7z   .gb   .gbc   .dmg   .zip,Not Applicable
Nintendo Game Boy Color,gbc,[RetroArch SameBoy](https://docs.libretro.com/library/sameboy/),.7z   .gb   .gbc   .dmg   .zip,Not Applicable
Nintendo Game Boy Color,gbc,[RetroArch Gambatte](https://docs.libretro.com/library/gambatte/),.7z   .gb   .gbc   .dmg   .zip,Not Applicable
**Nintendo Game Boy Color (Standalone)**,gbc,**[ares (Standalone)](https://ares-emu.net/compatibility)**,.7z   .gb   .gbc   .dmg   .zip,Not Applicable
**Nintendo GameCube (Standalone)**,`gc` or `gamecube`,**[Dolphin (Standalone)](https://dolphin-emu.org/)**,.ciso   .dol   .elf   .gcm   .gcz   .iso   .nkit   .iso   .rvz   .wad   .wia   .wbfs .m3u,Not Applicable
Nintendo NES / Famicom,`nes` or `famicom`,[RetroArch Mesen](https://docs.libretro.com/library/mesen/),.7z   .nes   .fds   .unf   .unif   .zip,FDS (Famicom Disk System) games require a BIOS:  `disksys.rom` in `Emulation/bios`
Nintendo NES / Famicom,`nes` or `famicom`,[RetroArch Nestopia](https://docs.libretro.com/library/nestopia_ue/),.7z   .nes   .fds   .unf   .unif   .zip,FDS (Famicom Disk System) games require a BIOS:  `disksys.rom` in `Emulation/bios`
**Nintendo NES / Famicom (Standalone)**,`nes` or `famicom`,**[ares (Standalone)](https://ares-emu.net/compatibility)**,.7z   .nes   .fds   .unf   .unif   .zip,Not Applicable
**Nintendo Famicom Disk System (Standalone)**,fds,**[ares (Standalone)](https://ares-emu.net/compatibility)**,.7z   .nes   .fds   .unf   .unif   .zip,`disksys.rom`
**Nintendo Satellaview (Standalone)**,satellaview,**[ares (Standalone)](https://ares-emu.net/compatibility)**,.7z   .bs   .fig  .sfc   .smc   .swx   .zip,`BS-X.bin`
**Nintendo Super Game Boy (Standalone)**,sgb,**[ares (Standalone)](https://ares-emu.net/compatibility)**,.gb .gbc .sgb .7z .zip,`SGB1.sfc`
**Super Nintendo (Standalone)**,`snes` or `snesna`,**[ares (Standalone)](https://ares-emu.net/compatibility)**,.7z   .bs   .fig  .sfc   .smc   .swx   .zip,Not Applicable
Super Nintendo,`snes` or `snesna`,[RetroArch Snes9x](https://docs.libretro.com/library/snes9x/),.7z   .bs   .fig  .sfc   .smc   .swx   .zip,Not Applicable
Super Nintendo Widescreen,`sneshd`,[RetroArch bsnes hd beta](https://github.com/DerKoun/bsnes-hd),.7z   .bs   .fig   .sfc   .smc   .swx   .zip,Not Applicable
**Nintendo PrimeHack (Standalone)**,primehacks,**[PrimeHack (Metroid Prime) (Standalone)](https://forums.dolphin-emu.org/Thread-fork-primehack-fps-controls-and-more-for-metroid-prime)**,.ciso   .dol   .elf   .gcm   .gcz   .iso   .json   .nkit.iso   .rvz   .wad   .wia   .wbfs,Not Applicable
**Nintendo Switch (Standalone)**,switch,**[Ryujinx (Standalone)](https://ryujinx.org/)**,.kp   .nca   .nro   .nso   .nsp   .xci   .nsz,Place `prod.keys` in:  `Emulation/bios/ryujinx/keys`     Install firmware through Ryujinx GUI
**Nintendo Switch (Standalone)**,switch,**[Yuzu (Standalone)](https://yuzu-emu.org/)**,.kp   .nca   .nro   .nso   .nsp   .xci,Place `prod.keys` in: `Emulation/bios/yuzu/keys`     Place `Firmware` files in: `Emulation/bios/yuzu/firmware`
Nintendo Virtual Boy,virtualboy,[RetroArch Beetle VB](https://docs.libretro.com/library/beetle_vb/),.vb .vboy .bin .7z .zip,Not Applicable
**Nintendo Wii (Standalone)**,wii,**[Dolphin (Standalone)](https://dolphin-emu.org/)**,.ciso   .dol   .elf   .gcm   .gcz   .iso   .json   .nkit .iso   .rvz   .wad   .wia   .wbfs .m3u,Not Applicable
**Nintendo Wii U (Standalone) (Proton)**,"`wiiu/roms`:material-information-outline:{ title=""Place your games here, do not install your games through Cemu"" }",**[Cemu (Standalone) (Proton)](https://cemu.info/)**,.rpx   .wud   .wux   .elf  .wad  .wua,"Place `keys.txt` (for encrypted ROMs) in: `Emulation/roms/wiiu`     For more information,  read the [Setting up Cemu (Proton) Questionnaire](./emulators/steamos/cemu/cemu-proton.md#setting-up-cemu-questionnaire)"
**Nintendo Wii U (Standalone) (Native)**,"`wiiu/roms`:material-information-outline:{ title=""Place your games here,  do not install your games through Cemu"" }",**[Cemu (Standalone) (Native)](https://cemu.info/)**,.rpx   .wud   .wux   .elf  .wad  .wua,"Place `keys.txt` (for encrypted ROMs) in: `/home/deck/.local/share/Cemu/`     For more information,  read the [Setting up Cemu (Native) Questionnaire](./emulators/steamos/cemu/cemu-native.md#setting-up-cemu-questionnaire)

"
**Nintendo Wii U (Standalone) (Windows)**,"wiiu:material-information-outline:{ title=""Place your games here,  do not install your games through Cemu"" }",**[Cemu (Standalone) (Windows)](https://cemu.info/)**,.rpx   .wud   .wux   .elf  .wad  .wua,"Place `keys.txt` (for encrypted ROMs) in:`%USERPROFILE%\\emudeck\\EmulationStation-DE\\Emulators\\cemu`   For more information, read the [Setting up Cemu (Windows) Questionnaire](./emulators/windows/cemu.md#setting-up-cemu-questionnaire)"
