System,ROM Folder Name,Emulator (Click for Link),File Format,BIOS Files
Sega 32X,sega32x,[RetroArch PicoDrive](https://docs.libretro.com/library/picodrive/),.32x .7z .bin .zip,Not Required
**Sega Atomiswave (Standalone)**,atomiswave,**[Flycast (Standalone)](https://github.com/flyinghead/flycast)**,.zip,Place `awbios.zip` in `Emulation/bios/flycast/bios`
Sega CD / Mega-CD,`segacd` or `megacd`,[RetroArch Genesis Plus GX](https://docs.libretro.com/library/genesis_plus_gx/),.32x .chd ‘.cue and .bin’ .iso .m3u,`bios_CD_E.bin` (Europe) <br> `bios_CD_U.bin` (US) <br> `bios_CD_J.bin` (Japan)
Sega Dreamcast,dreamcast,[RetroArch FlyCast](https://docs.libretro.com/library/flycast/),.cdi .chd `.cue and .bin` `.gdi and .bin`,Create `dc` folder in `Emulation/bios` <br> Place `dc_boot.bin` in `Emulation/bios/dc`
**Sega Dreamcast (Standalone)**,dreamcast,**[Flycast (Standalone)](https://github.com/flyinghead/flycast)**,.cdi   .chd  `.cue and .bin` `.gdi and .bin`,Not Required
Sega Game Gear,gamegear,[RetroArch Genesis Plus GX](https://docs.libretro.com/library/genesis_plus_gx/),.7z .gg .zip,Not Required
Sega Genesis / Mega Drive,`genesis` or `megadrive`,[RetroArch Genesis Plus GX](https://docs.libretro.com/library/genesis_plus_gx/),.7z .bin .gen .md .smd .zip,Not Required
Sega Genesis Widescreen,genesiswide,[RetroArch Genesis Plus GX](https://www.libretro.com/index.php/genesis-plus-gx-wide-now-available-for-libretroRetroArch/),.7z .bin .gen .md .smd .zip,Not Required
Sega Master System,mastersystem,[RetroArch Genesis Plus GX](https://docs.libretro.com/library/genesis_plus_gx/),.7z .gen .sms .zip,Not Required
Sega Model 2,model2/roms,[https://emulation.gametechwiki.com/index.php/Sega_Model_2](https://emulation.gametechwiki.com/index.php/Sega_Model_2),.zip,Not Required
Sega Model 3,model3,[Supermodel](https://www.supermodel3.com/index.html),.zip,Not Required
Sega NAOMI,naomi,[RetroArch FlyCast](https://docs.libretro.com/library/flycast/),.zip,Create `dc` folder in `Emulation/bios` <br> Place `naomi.zip` in `Emulation/bios/dc`
**Sega NAOMI (Standalone)**,naomi,**[Flycast (Standalone)](https://github.com/flyinghead/flycast)**,.zip,Place `naomi.zip` in `Emulation/bios/flycast/bios`
**Sega NAOMI 2 (Standalone)**,naomi2,**[Flycast (Standalone)](https://github.com/flyinghead/flycast)**,.zip,Place `naomi2.zip` in `Emulation/bios/flycast/bios`
Sega Saturn,saturn,[RetroArch Beetle Saturn](https://docs.libretro.com/library/beetle_saturn/),.ccd .chd ` .mds .cue and .bin` .iso .toc,`sega_101.bin` (JP) <br>  `mpr-17933.bin` (US/EU)
Sega Saturn,saturn,[RetroArch Kronos](https://docs.libretro.com/library/kronos/),.ccd .chd `.cue and .bin` .mds .iso .toc,Create `kronos` folder in `Emulation/bios` <br> Place `saturn_bios.bin` in `Emulation/bios/kronos`
Sega Saturn,saturn,[RetroArch Yabause](https://docs.libretro.com/library/yabause/),.ccd .chd `.cue and .bin` .mds .iso .toc,`saturn_bios.bin`
